Date,Year,Experiment,DataUse,Replication,Month,Vegetation,VegType,N2O,N_rate,PP2,PP7,AirT,DAF_TD,DAF_SD,WFPS25cm,NH4,NO3,Clay,Sand,SOM
2/9/12,2012,BCSE_KBS,Building,R1,February,Corn,Annual,3.896741682,170,0,0,-2,276,241,0.666508316,11.04634,22.940812,62.5,637.5,1.174072
2/10/12,2012,BCSE_KBS,Building,R1,February,Corn,Annual,2.190217677,170,0,0,-2.4,277,242,0.640607951,11.008087,22.959578,62.5,637.5,1.174072
2/18/12,2012,BCSE_KBS,Building,R1,February,Corn,Annual,3.542594407,170,3.3,8.64,0.3,285,250,0.728085401,10.831669,23.221928,62.5,637.5,1.174072
2/19/12,2012,BCSE_KBS,Building,R1,February,Corn,Annual,3.342869686,170,0,8.13,-3.8,286,251,0.686872352,10.849792,23.271978,62.5,637.5,1.174072
3/16/12,2012,BCSE_KBS,Building,R1,March,Corn,Annual,2.947778441,170,1.02,8.39,17.6,312,277,0.716221441,10.204748,24.206855,62.5,637.5,1.174072
3/17/12,2012,BCSE_KBS,Building,R1,March,Corn,Annual,2.146451291,170,1.02,8.39,19.1,313,278,0.70673345,10.103312,24.395334,62.5,637.5,1.174072
3/30/12,2012,BCSE_KBS,Building,R1,March,Corn,Annual,1.60370384,170,0,35.81,2.2,326,291,0.71463608,9.531861,25.331995,62.5,637.5,1.174072
3/31/12,2012,BCSE_KBS,Building,R1,March,Corn,Annual,0,170,6.35,7.11,3.3,327,292,0.711380518,9.549558,25.390144,62.5,637.5,1.174072
4/17/12,2012,BCSE_KBS,Building,R1,April,Corn,Annual,1.277621517,170,50.04,50.8,6.8,344,309,0.726115095,9.229551,26.010741,62.5,637.5,1.174072
4/20/12,2012,BCSE_KBS,Building,R1,April,Corn,Annual,1.941425653,170,2.29,52.84,10.7,347,312,0.718200724,9.344589,25.972378,62.5,637.5,1.174072
5/5/12,2012,BCSE_KBS,Building,R1,May,Corn,Annual,4.400840943,170,3.56,28.71,14.1,362,327,0.781241726,8.891492,26.925199,62.5,637.5,1.174072
5/6/12,2012,BCSE_KBS,Building,R1,May,Corn,Annual,3.101421441,170,1.27,23.88,15.1,363,328,0.770667167,8.796585,27.015723,62.5,637.5,1.174072
5/7/12,2012,BCSE_KBS,Building,R1,May,Corn,Annual,2.247645854,170,0,21.85,13.5,364,329,0.775597074,8.789589,27.134424,62.5,637.5,1.174072
5/8/12,2012,BCSE_KBS,Building,R1,May,Corn,Annual,2.470146627,170,2.03,6.1,13.6,365,330,0.728864268,9.990688,28.480817,62.5,637.5,1.174072
5/9/12,2012,BCSE_KBS,Building,R1,May,Corn,Annual,0,170,2.03,6.1,12.6,1,331,0.681126974,10.950754,29.524831,62.5,637.5,1.174072
5/13/12,2012,BCSE_KBS,Building,R1,May,Corn,Annual,2.452842456,170,1.27,3.3,15,5,335,0.731602393,14.928005,33.982728,62.5,637.5,1.174072
